example input data to run RothC for a number of years,,,,,,,,,
"clay and depth are only needed once, other data are monthly jan-dec ",,,,,,,,,
 (%),(cm),(t C/ha),(-),,,,,,
clay,depth,iom,nsteps,,,,,,
18,30,2.524,0,,,,,,
(-),(-),(%),(C) ,(mm),(mm),(t C/ha),(t C/ha),(-),(-)
year,month,modern,Tmp,Rain,Evap,C_inp,FYM,PC,DPM_RPM
1,1,100,27.7,5,193.33,0,0,0,1.44
1,2,100,30.3,10.9,200,0,0,0,1.44
1,3,100,31.8,20.9,230.67,0,0,0,1.44
1,4,100,30.9,86.4,225.33,0,0,0,1.44
1,5,100,29.3,130.1,220,0,0,1,1.44
1,6,100,27.6,141.8,192,0,0,1,1.44
1,7,100,26.6,139.7,176,0,0,1,1.44
1,8,100,26,241,164,0,0,1,1.44
1,9,100,26.4,198.1,162.67,0,0,1,1.44
1,10,100,28,82.9,190.67,3.074755695,0,1,1.44
1,11,100,28.8,5.2,192,0,0,0,1.44
1,12,100,27.8,0.3,192,0,0,0,1.44
2025,1,100,27.7,5,193.33,0,0,0,1.44
2025,2,100,30.3,10.9,200,0,0,0,1.44
2025,3,100,31.8,20.9,230.67,0,0,0,1.44
2025,4,100,30.9,86.4,225.33,0,0,0,1.44
2025,5,100,29.3,130.1,220,0,0,1,1.44
2025,6,100,27.6,141.8,192,0,0,1,1.44
2025,7,100,26.6,139.7,176,0,0,1,1.44
2025,8,100,26,241,164,0,0,1,1.44
2025,9,100,26.4,198.1,162.67,0,0,1,1.44
2025,10,100,28,82.9,190.67,3.074755695,0,1,1.44
2025,11,100,28.8,5.2,192,0,0,0,1.44
2025,12,100,27.8,0.3,192,0,0,0,1.44
2026,1,100,27.7,5,193.33,0,0,0,1.44
2026,2,100,30.3,10.9,200,0,0,0,1.44
2026,3,100,31.8,20.9,230.67,0,0,0,1.44
2026,4,100,30.9,86.4,225.33,0,0,0,1.44
2026,5,100,29.3,130.1,220,0,0,1,1.44
2026,6,100,27.6,141.8,192,0,0,1,1.44
2026,7,100,26.6,139.7,176,0,0,1,1.44
2026,8,100,26,241,164,0,0,1,1.44
2026,9,100,26.4,198.1,162.67,0,0,1,1.44
2026,10,100,28,82.9,190.67,0,0,1,1.44
2026,11,100,28.8,5.2,192,3.074755695,0,0,1.44
2026,12,100,27.8,0.3,192,0,0,0,1.44
2027,1,100,27.7,5,193.33,0,0,0,1.44
2027,2,100,30.3,10.9,200,0,0,0,1.44
2027,3,100,31.8,20.9,230.67,0,0,0,1.44
2027,4,100,30.9,86.4,225.33,0,0,0,1.44
2027,5,100,29.3,130.1,220,0,0,1,1.44
2027,6,100,27.6,141.8,192,0,0,1,1.44
2027,7,100,26.6,139.7,176,0,0,1,1.44
2027,8,100,26,241,164,0,0,1,1.44
2027,9,100,26.4,198.1,162.67,0,0,1,1.44
2027,10,100,28,82.9,190.67,3.074755695,0,1,1.44
2027,11,100,28.8,5.2,192,0,0,0,1.44
2027,12,100,27.8,0.3,192,0,0,0,1.44
2028,1,100,27.7,5,193.33,0,0,0,1.44
2028,2,100,30.3,10.9,200,0,0,0,1.44
2028,3,100,31.8,20.9,230.67,0,0,0,1.44
2028,4,100,30.9,86.4,225.33,0,0,0,1.44
2028,5,100,29.3,130.1,220,0,0,1,1.44
2028,6,100,27.6,141.8,192,0,0,1,1.44
2028,7,100,26.6,139.7,176,0,0,1,1.44
2028,8,100,26,241,164,0,0,1,1.44
2028,9,100,26.4,198.1,162.67,0,0,1,1.44
2028,10,100,28,82.9,190.67,3.074755695,0,1,1.44
2028,11,100,28.8,5.2,192,0,0,0,1.44
2028,12,100,27.8,0.3,192,0,0,0,1.44
2029,1,100,27.7,5,193.33,0,0,0,1.44
2029,2,100,30.3,10.9,200,0,0,0,1.44
2029,3,100,31.8,20.9,230.67,0,0,0,1.44
2029,4,100,30.9,86.4,225.33,0,0,0,1.44
2029,5,100,29.3,130.1,220,0,0,1,1.44
2029,6,100,27.6,141.8,192,0,0,1,1.44
2029,7,100,26.6,139.7,176,0,0,1,1.44
2029,8,100,26,241,164,0,0,1,1.44
2029,9,100,26.4,198.1,162.67,0,0,1,1.44
2029,10,100,28,82.9,190.67,3.074755695,0,1,1.44
2029,11,100,28.8,5.2,192,0,0,0,1.44
2029,12,100,27.8,0.3,192,0,0,0,1.44
2030,1,100,27.7,5,193.33,0,0,0,1.44
2030,2,100,30.3,10.9,200,0,0,0,1.44
2030,3,100,31.8,20.9,230.67,0,0,0,1.44
2030,4,100,30.9,86.4,225.33,0,0,0,1.44
2030,5,100,29.3,130.1,220,0,0,1,1.44
2030,6,100,27.6,141.8,192,0,0,1,1.44
2030,7,100,26.6,139.7,176,0,0,1,1.44
2030,8,100,26,241,164,0,0,1,1.44
2030,9,100,26.4,198.1,162.67,0,0,1,1.44
2030,10,100,28,82.9,190.67,3.074755695,0,1,1.44
2030,11,100,28.8,5.2,192,0,0,0,1.44
2030,12,100,27.8,0.3,192,0,0,0,1.44
2031,1,100,27.7,5,193.33,0,0,0,1.44
2031,2,100,30.3,10.9,200,0,0,0,1.44
2031,3,100,31.8,20.9,230.67,0,0,0,1.44
2031,4,100,30.9,86.4,225.33,0,0,0,1.44
2031,5,100,29.3,130.1,220,0,0,1,1.44
2031,6,100,27.6,141.8,192,0,0,1,1.44
2031,7,100,26.6,139.7,176,0,0,1,1.44
2031,8,100,26,241,164,0,0,1,1.44
2031,9,100,26.4,198.1,162.67,0,0,1,1.44
2031,10,100,28,82.9,190.67,3.074755695,0,1,1.44
2031,11,100,28.8,5.2,192,0,0,0,1.44
2031,12,100,27.8,0.3,192,0,0,0,1.44
2032,1,100,27.7,5,193.33,0,0,0,1.44
2032,2,100,30.3,10.9,200,0,0,0,1.44
2032,3,100,31.8,20.9,230.67,0,0,0,1.44
2032,4,100,30.9,86.4,225.33,0,0,0,1.44
2032,5,100,29.3,130.1,220,0,0,1,1.44
2032,6,100,27.6,141.8,192,0,0,1,1.44
2032,7,100,26.6,139.7,176,0,0,1,1.44
2032,8,100,26,241,164,0,0,1,1.44
2032,9,100,26.4,198.1,162.67,0,0,1,1.44
2032,10,100,28,82.9,190.67,3.074755695,0,1,1.44
2032,11,100,28.8,5.2,192,0,0,0,1.44
2032,12,100,27.8,0.3,192,0,0,0,1.44
2033,1,100,27.7,5,193.33,0,0,0,1.44
2033,2,100,30.3,10.9,200,0,0,0,1.44
2033,3,100,31.8,20.9,230.67,0,0,0,1.44
2033,4,100,30.9,86.4,225.33,0,0,0,1.44
2033,5,100,29.3,130.1,220,0,0,1,1.44
2033,6,100,27.6,141.8,192,0,0,1,1.44
2033,7,100,26.6,139.7,176,0,0,1,1.44
2033,8,100,26,241,164,0,0,1,1.44
2033,9,100,26.4,198.1,162.67,0,0,1,1.44
2033,10,100,28,82.9,190.67,3.074755695,0,1,1.44
2033,11,100,28.8,5.2,192,0,0,0,1.44
2033,12,100,27.8,0.3,192,0,0,0,1.44
2034,1,100,27.7,5,193.33,0,0,0,1.44
2034,2,100,30.3,10.9,200,0,0,0,1.44
2034,3,100,31.8,20.9,230.67,0,0,0,1.44
2034,4,100,30.9,86.4,225.33,0,0,0,1.44
2034,5,100,29.3,130.1,220,0,0,1,1.44
2034,6,100,27.6,141.8,192,0,0,1,1.44
2034,7,100,26.6,139.7,176,0,0,1,1.44
2034,8,100,26,241,164,0,0,1,1.44
2034,9,100,26.4,198.1,162.67,0,0,1,1.44
2034,10,100,28,82.9,190.67,3.074755695,0,1,1.44
2034,11,100,28.8,5.2,192,0,0,0,1.44
2034,12,100,27.8,0.3,192,0,0,0,1.44
2035,1,100,27.7,5,193.33,0,0,0,1.44
2035,2,100,30.3,10.9,200,0,0,0,1.44
2035,3,100,31.8,20.9,230.67,0,0,0,1.44
2035,4,100,30.9,86.4,225.33,0,0,0,1.44
2035,5,100,29.3,130.1,220,0,0,1,1.44
2035,6,100,27.6,141.8,192,0,0,1,1.44
2035,7,100,26.6,139.7,176,0,0,1,1.44
2035,8,100,26,241,164,0,0,1,1.44
2035,9,100,26.4,198.1,162.67,0,0,1,1.44
2035,10,100,28,82.9,190.67,3.074755695,0,1,1.44
2035,11,100,28.8,5.2,192,0,0,0,1.44
2035,12,100,27.8,0.3,192,0,0,0,1.44
2036,1,100,27.7,5,193.33,0,0,0,1.44
2036,2,100,30.3,10.9,200,0,0,0,1.44
2036,3,100,31.8,20.9,230.67,0,0,0,1.44
2036,4,100,30.9,86.4,225.33,0,0,0,1.44
2036,5,100,29.3,130.1,220,0,0,1,1.44
2036,6,100,27.6,141.8,192,0,0,1,1.44
2036,7,100,26.6,139.7,176,0,0,1,1.44
2036,8,100,26,241,164,0,0,1,1.44
2036,9,100,26.4,198.1,162.67,0,0,1,1.44
2036,10,100,28,82.9,190.67,3.074755695,0,1,1.44
2036,11,100,28.8,5.2,192,0,0,0,1.44
2036,12,100,27.8,0.3,192,0,0,0,1.44
2037,1,100,27.7,5,193.33,0,0,0,1.44
2037,2,100,30.3,10.9,200,0,0,0,1.44
2037,3,100,31.8,20.9,230.67,0,0,0,1.44
2037,4,100,30.9,86.4,225.33,0,0,0,1.44
2037,5,100,29.3,130.1,220,0,0,1,1.44
2037,6,100,27.6,141.8,192,0,0,1,1.44
2037,7,100,26.6,139.7,176,0,0,1,1.44
2037,8,100,26,241,164,0,0,1,1.44
2037,9,100,26.4,198.1,162.67,0,0,1,1.44
2037,10,100,28,82.9,190.67,3.074755695,0,1,1.44
2037,11,100,28.8,5.2,192,0,0,0,1.44
2037,12,100,27.8,0.3,192,0,0,0,1.44
2038,1,100,27.7,5,193.33,0,0,0,1.44
2038,2,100,30.3,10.9,200,0,0,0,1.44
2038,3,100,31.8,20.9,230.67,0,0,0,1.44
2038,4,100,30.9,86.4,225.33,0,0,0,1.44
2038,5,100,29.3,130.1,220,0,0,1,1.44
2038,6,100,27.6,141.8,192,0,0,1,1.44
2038,7,100,26.6,139.7,176,0,0,1,1.44
2038,8,100,26,241,164,0,0,1,1.44
2038,9,100,26.4,198.1,162.67,0,0,1,1.44
2038,10,100,28,82.9,190.67,3.074755695,0,1,1.44
2038,11,100,28.8,5.2,192,0,0,0,1.44
2038,12,100,27.8,0.3,192,0,0,0,1.44
2039,1,100,27.7,5,193.33,0,0,0,1.44
2039,2,100,30.3,10.9,200,0,0,0,1.44
2039,3,100,31.8,20.9,230.67,0,0,0,1.44
2039,4,100,30.9,86.4,225.33,0,0,0,1.44
2039,5,100,29.3,130.1,220,0,0,1,1.44
2039,6,100,27.6,141.8,192,0,0,1,1.44
2039,7,100,26.6,139.7,176,0,0,1,1.44
2039,8,100,26,241,164,0,0,1,1.44
2039,9,100,26.4,198.1,162.67,0,0,1,1.44
2039,10,100,28,82.9,190.67,3.074755695,0,1,1.44
2039,11,100,28.8,5.2,192,0,0,0,1.44
2039,12,100,27.8,0.3,192,0,0,0,1.44
2040,1,100,27.7,5,193.33,0,0,0,1.44
2040,2,100,30.3,10.9,200,0,0,0,1.44
2040,3,100,31.8,20.9,230.67,0,0,0,1.44
2040,4,100,30.9,86.4,225.33,0,0,0,1.44
2040,5,100,29.3,130.1,220,0,0,1,1.44
2040,6,100,27.6,141.8,192,0,0,1,1.44
2040,7,100,26.6,139.7,176,0,0,1,1.44
2040,8,100,26,241,164,0,0,1,1.44
2040,9,100,26.4,198.1,162.67,0,0,1,1.44
2040,10,100,28,82.9,190.67,3.074755695,0,1,1.44
2040,11,100,28.8,5.2,192,0,0,0,1.44
2040,12,100,27.8,0.3,192,0,0,0,1.44
2041,1,100,27.7,5,193.33,0,0,0,1.44
2041,2,100,30.3,10.9,200,0,0,0,1.44
2041,3,100,31.8,20.9,230.67,0,0,0,1.44
2041,4,100,30.9,86.4,225.33,0,0,0,1.44
2041,5,100,29.3,130.1,220,0,0,1,1.44
2041,6,100,27.6,141.8,192,0,0,1,1.44
2041,7,100,26.6,139.7,176,0,0,1,1.44
2041,8,100,26,241,164,0,0,1,1.44
2041,9,100,26.4,198.1,162.67,0,0,1,1.44
2041,10,100,28,82.9,190.67,3.074755695,0,1,1.44
2041,11,100,28.8,5.2,192,0,0,0,1.44
2041,12,100,27.8,0.3,192,0,0,0,1.44
2042,1,100,27.7,5,193.33,0,0,0,1.44
2042,2,100,30.3,10.9,200,0,0,0,1.44
2042,3,100,31.8,20.9,230.67,0,0,0,1.44
2042,4,100,30.9,86.4,225.33,0,0,0,1.44
2042,5,100,29.3,130.1,220,0,0,1,1.44
2042,6,100,27.6,141.8,192,0,0,1,1.44
2042,7,100,26.6,139.7,176,0,0,1,1.44
2042,8,100,26,241,164,0,0,1,1.44
2042,9,100,26.4,198.1,162.67,0,0,1,1.44
2042,10,100,28,82.9,190.67,3.074755695,0,1,1.44
2042,11,100,28.8,5.2,192,0,0,0,1.44
2042,12,100,27.8,0.3,192,0,0,0,1.44
2043,1,100,27.7,5,193.33,0,0,0,1.44
2043,2,100,30.3,10.9,200,0,0,0,1.44
2043,3,100,31.8,20.9,230.67,0,0,0,1.44
2043,4,100,30.9,86.4,225.33,0,0,0,1.44
2043,5,100,29.3,130.1,220,0,0,1,1.44
2043,6,100,27.6,141.8,192,0,0,1,1.44
2043,7,100,26.6,139.7,176,0,0,1,1.44
2043,8,100,26,241,164,0,0,1,1.44
2043,9,100,26.4,198.1,162.67,0,0,1,1.44
2043,10,100,28,82.9,190.67,3.074755695,0,1,1.44
2043,11,100,28.8,5.2,192,0,0,0,1.44
2043,12,100,27.8,0.3,192,0,0,0,1.44
2044,1,100,27.7,5,193.33,0,0,0,1.44
2044,2,100,30.3,10.9,200,0,0,0,1.44
2044,3,100,31.8,20.9,230.67,0,0,0,1.44
2044,4,100,30.9,86.4,225.33,0,0,0,1.44
2044,5,100,29.3,130.1,220,0,0,1,1.44
2044,6,100,27.6,141.8,192,0,0,1,1.44
2044,7,100,26.6,139.7,176,0,0,1,1.44
2044,8,100,26,241,164,0,0,1,1.44
